#x = numpy.linspace(0.0,15.0,200)
#sigma = 3.0
#m = 15.0
#b = 9.0
#y = m*x + b + sigma*numpy.random.randn(len(x))
#res = numpy.vstack((x,y)).T
#numpy.savetxt('lin.dat', res)
4.748743718592963958e+00 8.436039746243412196e+01
4.824120603015074948e+00 7.859566493472649995e+01
4.899497487437185939e+00 8.294650219141041703e+01
4.974874371859296041e+00 7.969466929227533569e+01
5.050251256281406143e+00 8.506423968305603012e+01
5.125628140703517133e+00 8.391277235926746414e+01
5.201005025125628123e+00 8.867718367686831016e+01
5.276381909547738225e+00 8.913993826041476609e+01
5.351758793969848327e+00 9.046105996904391588e+01
5.427135678391959317e+00 8.940863993956924105e+01
5.502512562814070307e+00 9.079121392335061103e+01
5.577889447236180409e+00 9.243626935897344765e+01
5.653266331658290511e+00 9.186514392129993212e+01
5.728643216080401501e+00 9.327790404887259967e+01
5.804020100502512491e+00 9.453545971324612651e+01
5.879396984924622593e+00 1.020511196517602741e+02
5.954773869346732695e+00 9.983598150768042956e+01
6.030150753768843686e+00 9.554226465216721920e+01
6.105527638190954676e+00 9.680634485196468120e+01
6.180904522613064778e+00 1.063928663082718913e+02
6.256281407035174880e+00 9.831825579137174032e+01
6.331658291457285870e+00 1.038257942671561693e+02
6.407035175879396860e+00 1.147032310705597666e+02
6.482412060301506962e+00 1.070266890014545851e+02
6.557788944723617064e+00 1.070772441619085100e+02
6.633165829145728054e+00 1.074557675062235518e+02
6.708542713567839044e+00 1.114927653841416486e+02
6.783919597989949146e+00 1.114672155268002314e+02
6.859296482412059248e+00 1.111133229247087684e+02
6.934673366834170238e+00 1.167877152099724327e+02
7.010050251256281229e+00 1.148522499450401853e+02
7.085427135678391330e+00 1.150180785588617880e+02
7.160804020100501432e+00 1.168738549619450851e+02
7.236180904522612423e+00 1.197811442898021852e+02
7.311557788944723413e+00 1.184491079466028225e+02
7.386934673366833515e+00 1.181408246705014307e+02
7.462311557788943617e+00 1.177105460615148047e+02
7.537688442211054607e+00 1.224417252088776422e+02
7.613065326633165597e+00 1.195406087262727937e+02
7.688442211055275699e+00 1.232022939768813217e+02
7.763819095477385801e+00 1.252995007528800215e+02
7.839195979899496791e+00 1.264942750909224145e+02
7.914572864321607781e+00 1.331555642417882268e+02
7.989949748743717883e+00 1.279065469889041395e+02
8.065326633165827985e+00 1.321378781500027628e+02
8.140703517587938975e+00 1.274095830087576928e+02
8.216080402010049966e+00 1.321615247162093283e+02
8.291457286432159179e+00 1.331888794308719639e+02
8.366834170854270170e+00 1.374569128100691273e+02
8.442211055276381160e+00 1.343548740300089719e+02
8.517587939698492150e+00 1.311603074903233050e+02
8.592964824120603140e+00 1.387271871000706938e+02
8.668341708542712354e+00 1.361659796265794853e+02
8.743718592964823344e+00 1.365296246854227888e+02
8.819095477386934334e+00 1.400328908324248687e+02
8.894472361809043548e+00 1.428764106621268581e+02
8.969849246231154538e+00 1.400362819921418236e+02
9.045226130653265528e+00 1.478078569380838587e+02
9.120603015075376518e+00 1.382539368130173330e+02
9.195979899497487509e+00 1.500072421882282470e+02
9.271356783919596722e+00 1.544312605042143502e+02
9.346733668341707713e+00 1.466646106178211824e+02
9.422110552763818703e+00 1.557245109034268182e+02
9.497487437185927917e+00 1.561608870849750019e+02
9.572864321608038907e+00 1.536826225144089904e+02
9.648241206030149897e+00 1.534264198463793605e+02
9.723618090452260887e+00 1.576467308801209697e+02
9.798994974874371877e+00 1.586762823203508219e+02
9.874371859296481091e+00 1.579457564425931082e+02
9.949748743718592081e+00 1.558401487161636965e+02
1.002512562814070307e+01 1.606239072762634805e+02
1.010050251256281229e+01 1.614987123671351128e+02
1.017587939698492328e+01 1.627038973823999868e+02
1.025125628140703427e+01 1.672678137736499195e+02
1.032663316582914526e+01 1.666043490039670019e+02
1.040201005025125625e+01 1.647967036644994039e+02
1.047738693467336546e+01 1.694487570263978284e+02
1.055276381909547645e+01 1.696741960231844359e+02
1.062814070351758744e+01 1.707057363153317908e+02
1.070351758793969665e+01 1.664385712190183995e+02
1.077889447236180764e+01 1.724532250291996434e+02
1.085427135678391863e+01 1.707179070453973111e+02
1.092964824120602962e+01 1.713968482632311634e+02
1.100502512562814061e+01 1.690140969360580812e+02
1.108040201005024983e+01 1.757618054866648549e+02
1.115577889447236082e+01 1.728970790939970641e+02
1.123115577889447181e+01 1.782643352700135893e+02
1.130653266331658102e+01 1.775571096728481564e+02
1.138190954773869201e+01 1.766810726541008876e+02
1.145728643216080300e+01 1.800259393192304742e+02
1.153266331658291399e+01 1.831680993206809944e+02
1.160804020100502498e+01 1.776294804904419777e+02
1.168341708542713420e+01 1.862551460224134132e+02
1.175879396984924519e+01 1.856242443763423466e+02
1.183417085427135618e+01 1.849892855795565367e+02
1.190954773869346539e+01 1.871941489900389968e+02
1.198492462311557638e+01 1.843387242756224111e+02
1.206030150753768737e+01 1.903569865311175136e+02
1.213567839195979836e+01 1.950369440898648179e+02
1.221105527638190935e+01 1.948402022947367414e+02
1.228643216080401857e+01 1.898092424460283212e+02
1.236180904522612956e+01 1.921670225422449505e+02
1.243718592964824055e+01 2.030228038107674990e+02
1.251256281407034976e+01 1.945819849981769494e+02
1.258793969849246075e+01 1.969918824358602762e+02
1.266331658291457174e+01 1.958694007735808214e+02
1.273869346733668273e+01 2.074633451168120928e+02
1.281407035175879372e+01 2.066773573436979632e+02
1.288944723618090293e+01 2.043231064948481333e+02
1.296482412060301392e+01 2.034053740478756822e+02
1.304020100502512491e+01 2.033051170766355256e+02
1.311557788944723413e+01 2.042994815842640435e+02
1.319095477386934512e+01 2.108603405608668595e+02
1.326633165829145611e+01 2.113518855442883080e+02
1.334170854271356710e+01 2.116282887213216100e+02
1.341708542713567809e+01 2.088453809065076996e+02
1.349246231155778730e+01 2.137141445137889093e+02
1.356783919597989829e+01 2.106328475211132627e+02
1.364321608040200928e+01 2.187325476821870325e+02
1.371859296482411850e+01 2.151095950385285676e+02
1.379396984924622949e+01 2.131009258557841122e+02
1.386934673366834048e+01 2.085413213793570435e+02
1.394472361809045147e+01 2.214669739267670536e+02
1.402010050251256246e+01 2.179260701083219942e+02
1.409547738693467167e+01 2.216338910329300234e+02
1.417085427135678266e+01 2.255864016026469869e+02
1.424623115577889365e+01 2.186803292834483443e+02
1.432160804020100286e+01 2.259333828646337849e+02
1.439698492462311386e+01 2.221767808748965649e+02
1.447236180904522485e+01 2.260811692357604272e+02
1.454773869346733584e+01 2.276149841784452406e+02
1.462311557788944683e+01 2.268932681731253069e+02
1.469849246231155604e+01 2.237349961812514323e+02
1.477386934673366703e+01 2.359065017869442329e+02
1.484924623115577802e+01 2.322070522592817383e+02
1.492462311557788723e+01 2.341713105421424643e+02
1.500000000000000000e+01 2.353202178084976310e+02
